Interval(second),B,G,R
0.000000 to 0.200000,229.0,18.0,348.0
0.200000 to 0.400000,763.0,759.0,438.0
0.400000 to 0.600000,1350.0,1060.0,749.0
0.600000 to 0.800000,391.0,457.0,96.0
0.800000 to 1.000000,406.0,172.0,239.0
1.000000 to 1.200000,105.0,13.0,19.0
1.200000 to 1.400000,96.0,37.0,78.0
1.400000 to 1.600000,100.0,63.0,85.0
1.600000 to 1.800000,183.0,78.0,185.0
1.800000 to 2.000000,386.0,82.0,93.0
2.000000 to 2.200000,72.0,189.0,109.0
2.200000 to 2.400000,348.0,245.0,235.0
2.400000 to 2.600000,220.0,650.0,757.0
2.600000 to 2.800000,2757.0,2434.0,1121.0
2.800000 to 3.000000,972.0,722.0,350.0
3.000000 to 3.200000,1045.0,1054.0,1091.0
3.200000 to 3.400000,358.0,630.0,1587.0
3.400000 to 3.600000,1543.0,1157.0,1031.0
3.600000 to 3.800000,1523.0,1634.0,1254.0
3.800000 to 4.000000,1079.0,1178.0,667.0
4.000000 to 4.200000,1318.0,1093.0,904.0
4.200000 to 4.400000,4550.0,4410.0,3747.0
4.400000 to 4.600000,1252.0,511.0,495.0
4.600000 to 4.800000,880.0,1173.0,1377.0
4.800000 to 5.000000,2809.0,3571.0,3200.0
5.000000 to 5.200000,783.0,1322.0,1904.0
5.200000 to 5.400000,1096.0,1699.0,752.0
5.400000 to 5.600000,1756.0,1683.0,1253.0
5.600000 to 5.800000,1292.0,1522.0,1831.0
5.800000 to 6.000000,2976.0,3162.0,2641.0
6.000000 to 6.200000,194.0,69.0,110.0
6.200000 to 6.400000,2320.0,2135.0,2169.0
6.400000 to 6.600000,209.0,29.0,211.0
6.600000 to 6.800000,301.0,782.0,801.0
6.800000 to 7.000000,2872.0,2991.0,2514.0
7.000000 to 7.200000,509.0,358.0,231.0
7.200000 to 7.400000,1650.0,1854.0,2785.0
7.400000 to 7.600000,5626.0,5728.0,5591.0
7.600000 to 7.800000,4731.0,5146.0,1759.0
7.800000 to 8.000000,4314.0,395.0,652.0
8.000000 to 8.200000,3476.0,806.0,573.0
8.200000 to 8.400000,2120.0,4602.0,4343.0
8.400000 to 8.600000,4180.0,350.0,611.0
8.600000 to 8.800000,2329.0,542.0,55.0
8.800000 to 9.000000,3047.0,3785.0,4069.0
9.000000 to 9.200000,1582.0,1635.0,946.0
9.200000 to 9.400000,1638.0,1677.0,1638.0
9.400000 to 9.600000,453.0,2079.0,2727.0
9.600000 to 9.800000,2909.0,2038.0,2524.0
9.800000 to 10.000000,3862.0,751.0,1708.0
10.000000 to 10.200000,912.0,1038.0,658.0
10.200000 to 10.400000,318.0,2705.0,1879.0
10.400000 to 10.600000,183.0,1551.0,709.0
10.600000 to 10.800000,1884.0,1035.0,967.0
10.800000 to 11.000000,1046.0,4564.0,3364.0
11.000000 to 11.200000,392.0,481.0,500.0
11.200000 to 11.400000,1504.0,978.0,3441.0
11.400000 to 11.600000,1289.0,685.0,3378.0
11.600000 to 11.800000,2313.0,6952.0,5065.0
11.800000 to 12.000000,3567.0,1154.0,2236.0
12.000000 to 12.200000,181.0,4758.0,2600.0
12.200000 to 12.400000,2401.0,10377.0,6997.0
12.400000 to 12.600000,2304.0,2169.0,2628.0
12.600000 to 12.800000,125.0,485.0,124.0
12.800000 to 13.000000,1183.0,2125.0,1756.0
13.000000 to 13.200000,1027.0,976.0,679.0
13.200000 to 13.400000,1723.0,4093.0,2195.0
13.400000 to 13.600000,2403.0,8103.0,5220.0
13.600000 to 13.800000,23.0,1192.0,2280.0
13.800000 to 14.000000,527.0,2587.0,146.0
14.000000 to 14.200000,537.0,789.0,1687.0
14.200000 to 14.400000,427.0,376.0,399.0
14.400000 to 14.600000,2748.0,1946.0,3012.0
14.600000 to 14.800000,2142.0,3456.0,2403.0
14.800000 to 15.000000,4245.0,2985.0,882.0
15.000000 to 15.200000,531.0,2966.0,4469.0
15.200000 to 15.400000,4296.0,5665.0,8008.0
15.400000 to 15.600000,1849.0,2011.0,3289.0
15.600000 to 15.800000,584.0,1293.0,3213.0
15.800000 to 16.000000,919.0,3061.0,953.0
16.000000 to 16.200000,490.0,1548.0,559.0
16.200000 to 16.400000,274.0,2951.0,461.0
